,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_2023,pitax_2023,total_gross_income_2023,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
74,"7,785.0000","3,553.0000","18,339.0000","7,785.0000","4,842.0000","25,033.0000","7,785.0000","5,674.0000","29,339.0000","7,785.0000","5,675.0000","29,339.0000","7,785.0000","6,127.0000","31,686.0000","7,785.0000","6,657.0000","34,475.0000","7,785.0000","7,175.0000","37,129.0000","7,785.0000","7,755.0000","40,100.0000",0.1934,0.1934
75,"7,785.0000","3,620.0000","18,888.0000","7,785.0000","4,929.0000","25,782.0000","7,785.0000","5,785.0000","30,217.0000","7,785.0000","5,786.0000","30,217.0000","7,785.0000","6,247.0000","32,634.0000","7,785.0000","6,791.0000","35,506.0000","7,785.0000","7,320.0000","38,240.0000","7,785.0000","7,914.0000","41,299.0000",0.1914,0.1915
76,"7,786.0000","3,759.0000","19,508.0000","7,786.0000","5,121.0000","26,628.0000","7,786.0000","6,006.0000","31,208.0000","7,786.0000","6,007.0000","31,208.0000","7,786.0000","6,485.0000","33,704.0000","7,786.0000","7,047.0000","36,670.0000","7,786.0000","7,600.0000","39,494.0000","7,786.0000","8,215.0000","42,653.0000",0.1925,0.1925
77,"7,785.0000","3,886.0000","20,189.0000","7,785.0000","5,296.0000","27,558.0000","7,785.0000","6,208.0000","32,298.0000","7,785.0000","6,209.0000","32,298.0000","7,785.0000","6,701.0000","34,882.0000","7,785.0000","7,288.0000","37,952.0000","7,785.0000","7,856.0000","40,874.0000","7,785.0000","8,495.0000","44,144.0000",0.1922,0.1922
78,"7,786.0000","3,997.0000","20,923.0000","7,786.0000","5,443.0000","28,560.0000","7,786.0000","6,387.0000","33,472.0000","7,786.0000","6,388.0000","33,472.0000","7,786.0000","6,900.0000","36,150.0000","7,786.0000","7,499.0000","39,331.0000","7,786.0000","8,090.0000","42,359.0000","7,786.0000","8,745.0000","45,748.0000",0.1908,0.1908
79,"7,785.0000","4,145.0000","21,714.0000","7,785.0000","5,647.0000","29,640.0000","7,785.0000","6,623.0000","34,738.0000","7,785.0000","6,624.0000","34,738.0000","7,785.0000","7,155.0000","37,517.0000","7,785.0000","7,777.0000","40,819.0000","7,785.0000","8,390.0000","43,962.0000","7,785.0000","9,073.0000","47,479.0000",0.1907,0.1907
80,"7,786.0000","4,294.0000","22,592.0000","7,786.0000","5,844.0000","30,838.0000","7,786.0000","6,854.0000","36,142.0000","7,786.0000","6,856.0000","36,142.0000","7,786.0000","7,409.0000","39,033.0000","7,786.0000","8,055.0000","42,468.0000","7,786.0000","8,690.0000","45,738.0000","7,786.0000","9,395.0000","49,398.0000",0.1896,0.1897
81,"7,785.0000","4,437.0000","23,515.0000","7,785.0000","6,037.0000","32,098.0000","7,785.0000","7,079.0000","37,619.0000","7,785.0000","7,081.0000","37,619.0000","7,785.0000","7,641.0000","40,628.0000","7,785.0000","8,305.0000","44,204.0000","7,785.0000","8,966.0000","47,607.0000","7,785.0000","9,703.0000","51,416.0000",0.1882,0.1882
82,"7,786.0000","4,634.0000","24,523.0000","7,786.0000","6,301.0000","33,474.0000","7,786.0000","7,394.0000","39,232.0000","7,786.0000","7,396.0000","39,232.0000","7,786.0000","7,994.0000","42,370.0000","7,786.0000","8,687.0000","46,099.0000","7,786.0000","9,384.0000","49,649.0000","7,786.0000","10,154.0000","53,621.0000",0.1885,0.1885
83,"7,785.0000","4,798.0000","25,570.0000","7,785.0000","6,529.0000","34,903.0000","7,785.0000","7,663.0000","40,906.0000","7,785.0000","7,665.0000","40,906.0000","7,785.0000","8,279.0000","44,178.0000","7,785.0000","8,988.0000","48,066.0000","7,785.0000","9,713.0000","51,767.0000","7,785.0000","10,512.0000","55,909.0000",0.1873,0.1874
84,"7,786.0000","5,009.0000","26,729.0000","7,786.0000","6,815.0000","36,485.0000","7,786.0000","8,003.0000","42,761.0000","7,786.0000","8,005.0000","42,761.0000","7,786.0000","8,644.0000","46,182.0000","7,786.0000","9,399.0000","50,246.0000","7,786.0000","10,140.0000","54,115.0000","7,786.0000","10,973.0000","58,444.0000",0.1872,0.1872
85,"7,785.0000","5,207.0000","27,988.0000","7,785.0000","7,075.0000","38,204.0000","7,785.0000","8,301.0000","44,775.0000","7,785.0000","8,304.0000","44,775.0000","7,785.0000","8,970.0000","48,357.0000","7,785.0000","9,740.0000","52,612.0000","7,785.0000","10,517.0000","56,663.0000","7,785.0000","11,385.0000","61,196.0000",0.1854,0.1855
86,"7,786.0000","5,459.0000","29,389.0000","7,786.0000","7,417.0000","40,116.0000","7,786.0000","8,703.0000","47,017.0000","7,786.0000","8,706.0000","47,017.0000","7,786.0000","9,406.0000","50,778.0000","7,786.0000","10,227.0000","55,246.0000","7,786.0000","11,047.0000","59,500.0000","7,786.0000","11,966.0000","64,260.0000",0.1851,0.1852
87,"7,785.0000","5,733.0000","31,032.0000","7,785.0000","7,785.0000","42,359.0000","7,785.0000","9,141.0000","49,645.0000","7,785.0000","9,147.0000","49,645.0000","7,785.0000","9,871.0000","53,617.0000","7,785.0000","10,725.0000","58,335.0000","7,785.0000","11,588.0000","62,827.0000","7,785.0000","12,544.0000","67,853.0000",0.1841,0.1842
88,"7,785.0000","6,039.0000","32,911.0000","7,785.0000","8,197.0000","44,923.0000","7,785.0000","9,622.0000","52,650.0000","7,785.0000","9,625.0000","52,650.0000","7,785.0000","10,385.0000","56,862.0000","7,785.0000","11,277.0000","61,866.0000","7,785.0000","12,189.0000","66,630.0000","7,785.0000","13,202.0000","71,960.0000",0.1828,0.1828
89,"7,786.0000","6,385.0000","35,126.0000","7,786.0000","8,659.0000","47,948.0000","7,786.0000","10,196.0000","56,195.0000","7,786.0000","10,202.0000","56,195.0000","7,786.0000","11,018.0000","60,690.0000","7,786.0000","11,951.0000","66,031.0000","7,786.0000","12,945.0000","71,115.0000","7,786.0000","14,033.0000","76,804.0000",0.1814,0.1815
90,"7,785.0000","6,775.0000","37,629.0000","7,785.0000","9,170.0000","51,364.0000","7,785.0000","10,771.0000","60,199.0000","7,785.0000","10,780.0000","60,199.0000","7,785.0000","11,635.0000","65,015.0000","7,785.0000","12,637.0000","70,736.0000","7,785.0000","13,684.0000","76,182.0000","7,785.0000","14,852.0000","82,277.0000",0.1789,0.1791
91,"7,786.0000","7,230.0000","40,433.0000","7,786.0000","9,782.0000","55,191.0000","7,786.0000","11,490.0000","64,684.0000","7,786.0000","11,500.0000","64,684.0000","7,786.0000","12,425.0000","69,859.0000","7,786.0000","13,499.0000","76,006.0000","7,786.0000","14,673.0000","81,859.0000","7,786.0000","15,921.0000","88,407.0000",0.1776,0.1778
92,"7,785.0000","7,692.0000","43,871.0000","7,785.0000","10,403.0000","59,884.0000","7,785.0000","12,254.0000","70,184.0000","7,785.0000","12,267.0000","70,184.0000","7,785.0000","13,234.0000","75,799.0000","7,785.0000","14,372.0000","82,469.0000","7,785.0000","15,600.0000","88,819.0000","7,785.0000","16,968.0000","95,925.0000",0.1746,0.1748
93,"7,786.0000","8,325.0000","48,134.0000","7,786.0000","11,266.0000","65,703.0000","7,786.0000","13,272.0000","77,004.0000","7,786.0000","13,289.0000","77,004.0000","7,786.0000","14,353.0000","83,165.0000","7,786.0000","15,549.0000","90,483.0000","7,786.0000","16,869.0000","97,450.0000","7,786.0000","18,328.0000","105,246.0000",0.1724,0.1726
94,"7,785.0000","9,042.0000","53,418.0000","7,785.0000","12,203.0000","72,916.0000","7,785.0000","14,385.0000","85,457.0000","7,785.0000","14,409.0000","85,457.0000","7,785.0000","15,538.0000","92,294.0000","7,785.0000","16,852.0000","100,416.0000","7,785.0000","18,354.0000","108,148.0000","7,785.0000","19,996.0000","116,799.0000",0.1683,0.1686
95,"7,786.0000","10,017.0000","60,566.0000","7,786.0000","13,528.0000","82,673.0000","7,786.0000","15,962.0000","96,892.0000","7,786.0000","15,991.0000","96,892.0000","7,786.0000","17,273.0000","104,644.0000","7,786.0000","18,740.0000","113,852.0000","7,786.0000","20,423.0000","122,619.0000","7,786.0000","22,295.0000","132,428.0000",0.1647,0.1650
96,"7,785.0000","11,305.0000","70,610.0000","7,785.0000","15,233.0000","96,383.0000","7,785.0000","18,058.0000","112,961.0000","7,785.0000","18,099.0000","112,961.0000","7,785.0000","19,553.0000","121,998.0000","7,785.0000","21,158.0000","132,734.0000","7,785.0000","23,230.0000","142,954.0000","7,785.0000","25,356.0000","154,390.0000",0.1599,0.1602
97,"7,786.0000","12,757.0000","86,861.0000","7,786.0000","17,135.0000","118,566.0000","7,786.0000","20,554.0000","138,959.0000","7,786.0000","20,644.0000","138,959.0000","7,786.0000","22,365.0000","150,076.0000","7,786.0000","24,277.0000","163,283.0000","7,786.0000","26,761.0000","175,855.0000","7,786.0000","29,349.0000","189,924.0000",0.1479,0.1486
98,"7,785.0000","15,787.0000","119,524.0000","7,785.0000","21,611.0000","163,150.0000","7,785.0000","26,332.0000","191,212.0000","7,785.0000","26,555.0000","191,212.0000","7,785.0000","28,870.0000","206,509.0000","7,785.0000","31,189.0000","224,682.0000","7,785.0000","34,390.0000","241,982.0000","7,785.0000","37,726.0000","261,341.0000",0.1377,0.1389
99,"7,786.0000","48,804.0000","534,422.0000","7,786.0000","68,931.0000","729,486.0000","7,786.0000","82,081.0000","854,957.0000","7,786.0000","102,534.0000","854,957.0000","7,786.0000","110,774.0000","923,354.0000","7,786.0000","120,034.0000","1,004,609.0000","7,786.0000","130,181.0000","1,081,964.0000","7,786.0000","141,304.0000","1,168,521.0000",0.0960,0.1199
ALL,"778,546.0000","318,747.0000","2,036,942.0000","778,546.0000","435,873.0000","2,780,425.0000","778,546.0000","514,407.0000","3,258,658.0000","778,546.0000","535,365.0000","3,258,658.0000","778,546.0000","578,420.0000","3,519,351.0000","778,546.0000","627,952.0000","3,829,054.0000","778,546.0000","680,462.0000","4,123,891.0000","778,546.0000","738,110.0000","4,453,802.0000",0.1579,0.1643
